@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R5,10'

@attribute age numeric
@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute education {primary,secondary,tertiary,unknown}
@attribute balance numeric
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_days numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}
@attribute class {yes,no}

@data
40,tech,married,secondary,1012,yes,no,email,may,410,1,-1,0,unknown,yes
50,management,married,unknown,3304,no,no,unknown,jun,1009,2,-1,0,unknown,yes
42,management,married,tertiary,1205,no,no,phone,sep,376,2,-1,0,unknown,no
49,services,married,secondary,823,no,no,email,aug,780,4,-1,0,unknown,no
27,services,single,secondary,44,yes,no,unknown,may,443,2,-1,0,unknown,no
29,retail,single,tertiary,19,no,no,email,feb,110,2,64,2,success,no
31,services,divorced,primary,459,yes,no,email,may,623,1,293,1,success,no
51,services,married,secondary,0,no,no,email,jul,439,3,-1,0,unknown,yes
38,construction,married,tertiary,1042,yes,no,email,feb,419,2,-1,0,unknown,yes
19,student,single,secondary,302,no,no,email,jul,205,1,-1,0,unknown,no
19,student,single,primary,103,no,no,email,jul,104,2,-1,0,unknown,no
35,self-employed,single,tertiary,44,no,no,email,sep,310,2,96,2,other,yes
48,management,married,tertiary,1147,no,no,email,aug,389,1,64,2,success,no
56,education,married,secondary,45,no,no,unknown,may,1467,1,-1,0,unknown,no
35,management,single,tertiary,633,yes,no,email,apr,128,3,-1,0,unknown,yes
41,tech,single,secondary,75,yes,no,unknown,jul,479,9,-1,0,unknown,no
38,construction,single,secondary,-242,yes,no,email,may,1173,3,278,6,success,no
34,entrepreneur,married,secondary,456,yes,yes,email,aug,137,8,-1,0,unknown,yes
30,management,married,tertiary,877,no,no,email,aug,202,1,83,5,failure,yes
21,student,single,secondary,681,no,no,unknown,aug,6,1,-1,0,unknown,yes
66,retired,married,primary,206,no,no,email,feb,479,1,-1,0,unknown,no
53,retail,married,primary,2581,no,no,email,apr,99,1,-1,0,unknown,yes
34,construction,single,tertiary,586,yes,no,unknown,may,489,2,-1,0,unknown,yes
30,construction,single,tertiary,6619,yes,no,email,aug,239,8,-1,0,unknown,yes
32,services,single,secondary,2881,no,no,email,jul,356,1,-1,0,unknown,no
26,tech,single,primary,-887,yes,no,email,may,827,2,-1,0,unknown,no
34,education,divorced,secondary,479,yes,no,email,may,515,1,350,5,failure,no
35,construction,single,secondary,126,no,no,email,aug,112,2,-1,0,unknown,yes
46,management,divorced,tertiary,25,no,no,unknown,jun,564,2,-1,0,unknown,yes
35,construction,single,secondary,450,yes,no,email,may,63,1,-1,0,unknown,yes
48,tech,married,unknown,439,yes,no,email,feb,212,1,249,2,other,yes
33,construction,married,secondary,4790,yes,no,email,apr,137,1,272,2,failure,yes
44,tech,single,primary,787,yes,no,unknown,may,570,2,-1,0,unknown,yes
31,self-employed,married,secondary,33,no,no,email,aug,165,4,-1,0,unknown,yes
31,construction,single,tertiary,438,yes,no,email,aug,130,2,-1,0,unknown,yes
42,services,divorced,secondary,372,yes,yes,unknown,may,121,2,-1,0,unknown,yes
46,retail,married,primary,19,yes,no,phone,jul,171,1,-1,0,unknown,yes
35,construction,married,secondary,2189,no,no,email,nov,256,3,-1,0,unknown,yes
31,construction,married,tertiary,636,yes,no,email,may,352,4,-1,0,unknown,no
32,tech,married,primary,415,yes,no,unknown,jun,777,4,-1,0,unknown,no
32,tech,married,secondary,2089,yes,no,email,nov,132,1,-1,0,unknown,no
32,management,single,tertiary,41,no,no,email,aug,686,5,-1,0,unknown,no
31,management,single,tertiary,3283,no,no,email,feb,258,1,73,1,failure,no
31,management,married,tertiary,1331,no,no,email,apr,297,1,86,3,success,no
51,services,divorced,secondary,12,yes,no,email,nov,150,1,-1,0,unknown,yes
29,services,married,primary,-102,no,no,unknown,jul,134,1,-1,0,unknown,yes
49,entrepreneur,divorced,unknown,-701,yes,no,email,jul,988,2,-1,0,unknown,no
34,tech,married,secondary,584,yes,no,email,jul,154,2,-1,0,unknown,yes
65,unknown,married,unknown,4717,no,no,phone,aug,256,1,-1,0,unknown,no
45,tech,divorced,primary,-311,yes,no,unknown,may,1030,1,-1,0,unknown,no
50,tech,married,primary,3924,yes,no,email,apr,122,2,-1,0,unknown,yes
37,tech,married,primary,543,yes,no,unknown,may,281,1,-1,0,unknown,yes
86,retired,married,secondary,1503,no,no,phone,mar,165,3,101,1,other,yes
49,services,married,secondary,320,no,no,phone,feb,1971,4,-1,0,unknown,no
35,tech,married,primary,11,yes,no,unknown,may,326,4,-1,0,unknown,yes
39,self-employed,single,tertiary,426,no,no,unknown,jun,1029,1,-1,0,unknown,no
36,management,divorced,tertiary,608,no,no,email,aug,125,2,-1,0,unknown,yes
33,unemployed,married,tertiary,302,yes,yes,email,apr,670,1,-1,0,unknown,yes
35,management,single,tertiary,747,no,no,email,feb,141,2,176,3,failure,yes
41,tech,single,secondary,-386,no,yes,email,nov,477,1,-1,0,unknown,no
47,retail,married,primary,0,no,no,email,aug,1225,2,-1,0,unknown,yes
49,education,married,secondary,13229,no,yes,phone,jul,77,2,-1,0,unknown,yes
57,retail,married,primary,0,no,no,unknown,jun,257,2,-1,0,unknown,yes
36,management,married,primary,3953,yes,no,email,nov,277,1,-1,0,unknown,yes
34,education,single,secondary,846,yes,no,email,apr,758,2,-1,0,unknown,yes
48,education,divorced,secondary,4099,no,no,email,apr,397,2,-1,0,unknown,no
33,services,married,secondary,478,no,no,email,apr,475,2,-1,0,unknown,no
54,construction,married,secondary,0,no,no,phone,aug,159,2,106,6,success,yes
30,unemployed,married,secondary,142,yes,no,unknown,may,350,4,-1,0,unknown,yes
44,education,married,secondary,205,no,no,email,nov,289,1,-1,0,unknown,no
31,management,single,tertiary,12569,no,no,email,sep,344,1,295,1,failure,no
51,management,married,tertiary,5108,yes,no,email,oct,272,1,102,8,other,yes
48,tech,single,secondary,-552,no,yes,email,nov,150,2,-1,0,unknown,yes
29,tech,single,secondary,-20,no,yes,email,jul,574,1,-1,0,unknown,no
34,tech,married,secondary,1298,yes,no,unknown,may,120,1,-1,0,unknown,yes
46,construction,divorced,secondary,-824,yes,no,email,aug,429,3,-1,0,unknown,no
36,management,single,tertiary,2944,no,no,email,aug,882,8,-1,0,unknown,no
55,tech,divorced,secondary,1613,yes,no,email,apr,296,1,270,3,failure,no
48,management,divorced,tertiary,541,yes,no,email,may,72,1,363,2,other,yes
26,education,married,secondary,2469,no,no,email,jul,136,8,-1,0,unknown,yes
25,management,single,tertiary,2506,no,no,email,feb,485,1,-1,0,unknown,no
59,retired,married,unknown,1033,no,no,unknown,jun,1199,1,-1,0,unknown,no
32,student,single,tertiary,0,no,no,email,aug,101,5,3,6,other,yes
26,retail,married,tertiary,543,no,no,email,jan,169,3,-1,0,unknown,yes
31,services,married,secondary,-230,yes,yes,email,jul,715,1,-1,0,unknown,yes
35,management,married,tertiary,93,no,no,email,may,198,2,88,1,other,yes
28,construction,single,tertiary,102,no,no,email,jan,321,2,-1,0,unknown,yes
36,education,married,secondary,4280,no,no,unknown,jun,227,6,-1,0,unknown,yes
36,construction,single,secondary,12,no,no,email,aug,587,2,-1,0,unknown,no
31,education,single,secondary,223,yes,no,email,apr,508,1,315,11,success,yes
58,self-employed,married,primary,1013,yes,no,email,aug,206,1,461,1,failure,no
25,unemployed,single,tertiary,343,no,no,email,jun,377,1,-1,0,unknown,no
43,management,married,tertiary,2886,no,no,email,nov,230,1,-1,0,unknown,yes
29,entrepreneur,married,secondary,452,yes,no,unknown,may,347,1,-1,0,unknown,yes
24,construction,married,secondary,556,yes,no,email,aug,460,2,-1,0,unknown,no
46,management,married,tertiary,1008,no,no,email,aug,24,13,-1,0,unknown,yes
34,tech,divorced,secondary,0,no,yes,unknown,may,339,1,-1,0,unknown,yes
37,construction,single,secondary,-242,yes,no,email,aug,1149,6,-1,0,unknown,no
34,entrepreneur,married,secondary,-139,yes,yes,unknown,may,492,2,-1,0,unknown,yes
54,tech,married,unknown,310,yes,no,phone,jan,526,4,258,3,other,yes
36,tech,divorced,primary,-308,yes,no,email,may,725,1,-1,0,unknown,no
49,management,married,primary,3371,no,no,email,nov,269,2,-1,0,unknown,no
25,student,single,secondary,8,no,no,email,apr,107,2,-1,0,unknown,no
29,self-employed,married,tertiary,751,yes,no,unknown,may,121,2,-1,0,unknown,yes
33,construction,married,secondary,1844,yes,no,unknown,may,241,3,-1,0,unknown,yes
30,management,single,tertiary,424,no,no,email,apr,298,4,-1,0,unknown,no
50,education,divorced,secondary,769,no,no,email,jul,72,2,363,4,failure,yes
52,retired,single,secondary,316,no,no,email,may,463,3,-1,0,unknown,yes
55,retired,married,primary,3334,no,no,email,aug,632,4,-1,0,unknown,no
58,tech,married,primary,0,yes,no,email,jul,5,25,-1,0,unknown,yes
49,construction,married,tertiary,1843,yes,no,email,may,269,1,-1,0,unknown,yes
27,education,single,secondary,3638,no,no,email,jul,271,5,-1,0,unknown,yes
36,self-employed,married,secondary,189,yes,no,email,nov,136,1,120,1,failure,yes
41,education,married,primary,-306,yes,no,unknown,may,500,1,-1,0,unknown,no
42,construction,married,secondary,473,yes,no,email,jul,216,5,-1,0,unknown,yes
40,services,married,secondary,-378,yes,yes,email,may,541,1,295,6,failure,yes
53,tech,married,secondary,-626,yes,no,email,jul,205,1,-1,0,unknown,yes
58,management,married,tertiary,172,no,no,email,aug,145,7,-1,0,unknown,yes
27,construction,single,secondary,282,no,yes,email,jul,676,5,-1,0,unknown,yes
36,education,single,secondary,1281,no,no,phone,jul,119,2,-1,0,unknown,yes
37,tech,married,secondary,67,no,no,unknown,jun,45,2,-1,0,unknown,yes
36,unemployed,married,secondary,-35,no,no,email,jan,339,3,-1,0,unknown,yes
32,tech,married,secondary,1905,yes,no,email,jul,709,2,-1,0,unknown,no
21,student,single,secondary,2488,no,no,email,jun,258,6,169,3,success,no
41,management,married,tertiary,326,yes,no,email,may,788,1,-1,0,unknown,no
34,construction,divorced,tertiary,674,yes,no,email,aug,587,2,-1,0,unknown,no
27,self-employed,married,secondary,-220,yes,no,unknown,may,138,2,-1,0,unknown,yes
67,retired,married,tertiary,701,no,no,email,aug,254,2,-1,0,unknown,no
47,construction,married,secondary,1219,no,no,email,aug,697,4,-1,0,unknown,no
49,services,married,tertiary,306,yes,no,email,aug,285,7,-1,0,unknown,yes
40,management,single,tertiary,1509,no,no,email,may,333,1,58,3,failure,yes
48,management,married,secondary,4415,yes,no,email,apr,1032,3,141,7,failure,no
42,management,married,unknown,1519,no,no,email,oct,230,1,92,1,success,no
42,construction,married,secondary,2,no,no,unknown,may,249,2,-1,0,unknown,yes
34,management,married,tertiary,1116,yes,no,email,jul,53,5,-1,0,unknown,yes
35,self-employed,divorced,tertiary,1354,yes,no,unknown,may,736,2,-1,0,unknown,no
37,management,married,tertiary,0,no,no,email,mar,129,4,107,2,failure,yes
45,unknown,married,primary,44,no,no,unknown,jun,81,1,-1,0,unknown,yes
57,construction,married,secondary,16063,yes,no,unknown,may,352,3,-1,0,unknown,yes
59,retired,married,tertiary,9676,no,no,phone,mar,234,2,-1,0,unknown,no
55,entrepreneur,married,secondary,8104,no,no,email,feb,213,2,-1,0,unknown,yes
61,construction,married,secondary,1191,no,no,email,may,214,4,-1,0,unknown,no
28,tech,married,secondary,1325,yes,no,email,may,242,1,-1,0,unknown,yes
33,management,single,tertiary,71,no,no,email,aug,107,6,-1,0,unknown,yes
40,services,single,secondary,72,no,no,unknown,may,141,2,-1,0,unknown,yes
39,management,single,tertiary,816,yes,no,email,aug,37,3,-1,0,unknown,yes
36,education,married,unknown,2323,no,no,email,nov,111,1,-1,0,unknown,yes
37,tech,married,primary,3242,yes,no,unknown,may,233,1,-1,0,unknown,yes
45,management,divorced,tertiary,0,no,no,unknown,jun,5,1,-1,0,unknown,yes
38,construction,married,secondary,1931,no,no,email,jun,167,1,298,10,other,yes
77,retired,divorced,tertiary,4659,no,no,email,apr,161,1,-1,0,unknown,no
48,construction,married,secondary,197,no,yes,email,feb,47,2,222,3,other,yes
42,education,married,secondary,-396,yes,no,email,may,80,1,308,4,failure,yes
45,construction,divorced,secondary,976,yes,no,email,apr,183,1,338,2,failure,yes
31,tech,married,secondary,1766,no,yes,email,jun,166,2,-1,0,unknown,no
46,education,divorced,primary,0,no,yes,email,jul,442,1,-1,0,unknown,yes
65,retired,divorced,unknown,300,no,no,email,aug,245,2,-1,0,unknown,yes
54,unknown,married,secondary,2206,no,no,email,nov,104,1,99,2,other,no
27,management,single,tertiary,446,no,no,email,jun,204,3,-1,0,unknown,yes
34,self-employed,single,tertiary,462,no,no,email,aug,1877,3,-1,0,unknown,no
35,management,married,tertiary,32,yes,no,email,nov,180,1,-1,0,unknown,yes
27,tech,married,secondary,-584,yes,no,email,may,411,2,-1,0,unknown,yes
30,management,single,tertiary,2,yes,yes,email,jul,1031,8,-1,0,unknown,no
34,management,married,tertiary,3301,yes,no,email,jun,485,2,227,4,failure,no
34,services,married,secondary,1076,no,no,email,may,152,1,182,6,success,no
59,services,married,secondary,204,no,no,email,jul,286,2,-1,0,unknown,yes
37,management,married,tertiary,0,no,no,email,jul,268,2,182,3,success,no
36,management,divorced,tertiary,0,no,no,email,aug,81,4,-1,0,unknown,yes
54,management,married,tertiary,2960,yes,no,email,nov,83,1,-1,0,unknown,yes
28,construction,single,secondary,618,yes,no,email,may,281,1,-1,0,unknown,yes
28,construction,single,tertiary,0,yes,no,unknown,jun,205,6,-1,0,unknown,yes
32,construction,single,secondary,0,no,no,email,aug,126,2,-1,0,unknown,yes
33,services,divorced,secondary,2411,yes,no,email,oct,130,1,161,1,failure,no
29,services,divorced,secondary,92,yes,no,email,may,240,1,-1,0,unknown,yes
42,construction,married,secondary,0,no,no,email,aug,82,12,-1,0,unknown,yes
54,management,divorced,tertiary,2171,yes,yes,phone,nov,1034,1,-1,0,unknown,no
59,management,married,secondary,42,no,no,email,nov,40,1,-1,0,unknown,yes
33,tech,married,primary,191,yes,no,unknown,may,162,2,-1,0,unknown,yes
31,tech,married,secondary,1664,yes,no,email,apr,158,1,182,1,success,yes
50,education,married,secondary,231,yes,no,email,nov,397,2,-1,0,unknown,yes
52,services,married,secondary,381,no,yes,email,aug,288,12,-1,0,unknown,yes
35,tech,married,secondary,603,yes,no,email,apr,474,2,-1,0,unknown,yes
56,management,married,tertiary,21664,no,no,unknown,jun,214,8,-1,0,unknown,yes
56,retail,married,primary,306,no,yes,email,jul,212,1,-1,0,unknown,yes
31,education,divorced,secondary,1890,yes,no,email,jul,588,1,-1,0,unknown,yes
33,management,married,tertiary,1064,yes,no,email,may,562,1,-1,0,unknown,no
28,tech,married,secondary,2788,yes,no,unknown,jun,369,2,-1,0,unknown,no
71,retired,married,secondary,2850,no,no,email,feb,185,1,-1,0,unknown,no
46,management,divorced,secondary,361,yes,no,unknown,may,86,7,-1,0,unknown,yes
49,management,single,tertiary,151,yes,no,email,jul,97,3,-1,0,unknown,no
48,tech,single,tertiary,2330,yes,no,unknown,jun,15,1,-1,0,unknown,yes
55,entrepreneur,divorced,secondary,538,yes,no,email,aug,353,2,-1,0,unknown,no
45,management,divorced,tertiary,2096,no,no,email,nov,127,1,100,2,failure,yes
38,entrepreneur,single,secondary,2543,no,no,email,aug,223,1,414,4,failure,no
30,student,single,secondary,0,yes,no,email,nov,661,1,-1,0,unknown,yes
29,management,single,tertiary,1026,no,no,email,nov,226,1,92,1,other,no
38,entrepreneur,married,tertiary,170,yes,no,email,may,442,1,-1,0,unknown,no
38,management,married,unknown,3576,no,no,email,nov,349,2,183,1,success,no
34,management,married,tertiary,4831,yes,no,email,feb,265,1,-1,0,unknown,yes
34,tech,married,primary,11,yes,no,unknown,may,326,4,-1,0,unknown,yes
52,construction,married,secondary,1818,no,yes,email,nov,189,2,111,4,failure,yes
32,management,single,tertiary,2629,no,no,email,aug,77,4,-1,0,unknown,yes
37,services,married,primary,52,yes,no,unknown,may,359,1,-1,0,unknown,yes
30,tech,single,secondary,2145,yes,no,email,may,727,2,-1,0,unknown,no
36,education,married,secondary,-423,yes,yes,unknown,may,106,1,-1,0,unknown,yes
37,tech,married,unknown,897,yes,no,email,apr,119,2,280,2,failure,yes
25,tech,single,secondary,913,yes,no,email,jul,113,4,-1,0,unknown,yes
38,management,single,tertiary,0,yes,no,email,nov,213,2,-1,0,unknown,yes
42,education,married,secondary,529,yes,yes,email,nov,193,3,-1,0,unknown,yes
49,tech,married,unknown,51,yes,no,unknown,may,984,1,-1,0,unknown,yes
37,construction,single,unknown,391,yes,no,unknown,may,103,3,-1,0,unknown,yes
83,retired,married,primary,425,no,no,phone,jun,883,1,140,1,failure,no
47,services,married,secondary,405,no,yes,email,aug,994,2,-1,0,unknown,no
31,construction,single,secondary,691,yes,no,email,may,198,1,-1,0,unknown,yes
40,management,single,tertiary,1361,no,no,email,jan,1473,1,-1,0,unknown,no
53,entrepreneur,married,unknown,7,no,no,email,nov,68,1,-1,0,unknown,yes
34,services,divorced,secondary,991,yes,no,email,may,89,1,344,1,failure,yes
78,retired,divorced,primary,229,no,no,phone,oct,97,1,-1,0,unknown,no
61,self-employed,divorced,tertiary,6610,no,no,email,feb,481,2,-1,0,unknown,no
39,services,married,secondary,5731,yes,no,unknown,may,175,2,-1,0,unknown,yes
44,services,married,secondary,812,no,no,email,jul,113,6,-1,0,unknown,yes
53,unemployed,married,secondary,94,no,no,email,aug,493,1,181,14,success,no
37,management,married,tertiary,767,no,yes,email,feb,204,1,-1,0,unknown,yes
32,tech,married,secondary,759,yes,no,email,apr,317,5,-1,0,unknown,no
48,retired,single,primary,6470,no,no,email,jul,106,3,-1,0,unknown,yes
44,construction,single,secondary,244,yes,no,email,aug,1735,4,-1,0,unknown,no
28,education,single,secondary,775,no,no,email,jan,603,2,-1,0,unknown,yes
34,tech,married,secondary,2542,yes,no,email,may,228,1,-1,0,unknown,yes
46,education,married,secondary,70,yes,no,email,mar,229,2,-1,0,unknown,no
34,education,single,primary,0,yes,yes,email,may,172,4,-1,0,unknown,yes
42,education,single,secondary,1022,yes,no,unknown,may,146,2,-1,0,unknown,yes
47,management,single,tertiary,440,no,no,email,aug,71,4,-1,0,unknown,yes
23,student,single,secondary,8494,no,no,email,aug,158,2,-1,0,unknown,yes
31,management,single,secondary,36,no,no,email,aug,105,2,-1,0,unknown,yes
45,tech,single,secondary,0,yes,no,email,apr,1472,1,192,4,failure,no
36,tech,married,secondary,4438,yes,no,unknown,may,446,1,-1,0,unknown,no
43,entrepreneur,married,secondary,104,yes,no,email,jul,635,3,-1,0,unknown,no
46,management,divorced,tertiary,1297,no,no,email,aug,716,3,-1,0,unknown,no
57,tech,married,primary,23,yes,no,phone,jul,25,8,-1,0,unknown,yes
41,education,married,secondary,5110,yes,no,email,apr,231,1,-1,0,unknown,yes
35,services,married,secondary,152,yes,no,unknown,jun,563,1,-1,0,unknown,no
41,services,married,secondary,171,no,no,email,jul,71,9,-1,0,unknown,yes
53,management,married,tertiary,1343,no,no,email,aug,129,4,-1,0,unknown,yes
28,construction,single,secondary,-298,yes,no,unknown,jun,559,7,-1,0,unknown,yes
59,management,married,primary,1727,no,no,phone,may,500,4,358,2,failure,no
40,education,single,secondary,100,yes,no,email,aug,221,1,461,1,success,no
34,education,married,secondary,2374,yes,no,email,nov,161,1,209,2,failure,no
39,entrepreneur,married,primary,238,yes,yes,email,nov,134,1,-1,0,unknown,yes
49,management,married,secondary,1623,yes,no,email,nov,1081,2,-1,0,unknown,no
41,tech,married,secondary,442,yes,no,email,may,463,1,-1,0,unknown,yes
31,tech,married,secondary,92,yes,no,unknown,may,688,1,-1,0,unknown,no
50,services,single,secondary,72,no,no,unknown,may,141,2,-1,0,unknown,yes
26,student,single,tertiary,294,no,no,email,mar,87,1,91,2,success,no
41,management,divorced,tertiary,5037,no,no,email,apr,252,9,185,5,other,no
49,construction,married,tertiary,1843,yes,no,email,may,269,1,-1,0,unknown,yes
53,unemployed,married,primary,980,yes,no,email,dec,352,1,-1,0,unknown,no
31,retail,single,primary,26965,no,no,email,apr,654,2,-1,0,unknown,no
36,education,divorced,secondary,356,yes,no,email,apr,244,3,313,1,failure,yes
30,tech,married,secondary,673,yes,no,unknown,may,610,2,-1,0,unknown,yes
34,construction,single,secondary,174,no,no,phone,may,259,4,-1,0,unknown,yes
49,services,divorced,secondary,3250,no,no,unknown,jun,32,3,-1,0,unknown,yes
30,management,married,tertiary,1882,yes,no,email,aug,249,5,-1,0,unknown,yes
46,self-employed,married,secondary,548,no,no,email,aug,1181,4,-1,0,unknown,no
33,services,married,secondary,386,no,no,email,nov,253,1,92,4,failure,no
34,tech,single,secondary,215,no,no,email,mar,350,3,-1,0,unknown,no
62,management,married,tertiary,0,no,no,email,oct,78,3,-1,0,unknown,yes
28,student,single,secondary,153,no,no,email,jul,1124,2,-1,0,unknown,no
46,tech,married,secondary,0,yes,no,email,may,264,2,-1,0,unknown,yes
40,tech,married,secondary,6767,yes,no,email,nov,97,2,-1,0,unknown,yes
40,tech,married,primary,2805,yes,no,email,may,173,6,353,23,failure,yes
36,management,married,tertiary,605,yes,no,unknown,may,204,1,-1,0,unknown,yes
35,management,divorced,tertiary,473,no,yes,email,aug,37,2,-1,0,unknown,yes
27,student,single,tertiary,5291,no,no,email,nov,192,2,92,2,failure,no
41,tech,divorced,primary,664,no,yes,email,jul,955,5,-1,0,unknown,no
44,construction,divorced,secondary,809,yes,no,unknown,may,118,4,-1,0,unknown,yes
70,retired,married,tertiary,15834,no,no,email,apr,172,3,186,1,failure,yes
28,education,married,secondary,-97,yes,no,email,jan,79,1,225,2,success,yes
55,management,divorced,tertiary,481,yes,no,phone,may,147,2,298,3,failure,yes
26,tech,single,secondary,179,no,no,email,jul,103,3,-1,0,unknown,yes
50,retail,married,primary,395,yes,no,unknown,may,419,2,-1,0,unknown,yes
38,management,married,tertiary,1199,no,no,email,aug,178,1,1,1,success,no
38,tech,married,primary,2240,yes,no,email,nov,551,1,183,1,failure,yes
51,tech,married,primary,-11,no,no,phone,jul,126,4,-1,0,unknown,yes
58,self-employed,divorced,tertiary,1382,no,no,unknown,jun,700,1,-1,0,unknown,no
40,self-employed,married,tertiary,1603,no,no,unknown,jun,279,1,-1,0,unknown,yes
44,management,married,secondary,2984,yes,no,unknown,may,770,2,-1,0,unknown,yes
31,unemployed,married,secondary,296,yes,no,unknown,may,378,3,-1,0,unknown,yes
38,construction,married,secondary,4030,yes,no,email,nov,75,2,177,5,failure,yes
42,tech,married,primary,969,yes,no,email,may,721,1,-1,0,unknown,yes
47,services,married,secondary,2,no,yes,email,jul,71,15,-1,0,unknown,yes
29,tech,single,tertiary,455,no,no,phone,apr,403,1,-1,0,unknown,no
49,education,married,secondary,197,yes,no,email,apr,223,1,182,2,failure,no
23,construction,single,tertiary,1129,yes,no,unknown,may,806,1,-1,0,unknown,no
56,construction,married,secondary,205,no,yes,email,jul,442,2,-1,0,unknown,yes
60,services,married,tertiary,4256,yes,no,email,aug,239,3,761,1,other,no
41,management,married,tertiary,326,yes,no,email,may,788,1,-1,0,unknown,no
66,retired,married,primary,747,no,no,phone,jan,203,3,93,1,failure,yes
36,services,divorced,secondary,1594,no,no,unknown,jun,250,3,-1,0,unknown,yes
