@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R2-4,6-8,13-14,17'

@attribute age numeric
@attribute has_defaulted {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
31,no,email,17,apr,508,11,success
58,no,email,11,aug,206,1,failure
25,no,email,1,jun,377,0,unknown
43,no,email,20,nov,230,0,unknown
29,no,unknown,27,may,347,0,unknown
24,no,email,18,aug,460,0,unknown
46,no,email,29,aug,24,0,unknown
34,no,unknown,21,may,339,0,unknown
37,no,email,13,aug,1149,0,unknown
34,no,unknown,27,may,492,0,unknown
54,no,phone,28,jan,526,3,other
36,no,email,12,may,725,0,unknown
49,no,email,11,nov,269,0,unknown
25,no,email,22,apr,107,0,unknown
29,no,unknown,23,may,121,0,unknown
33,no,unknown,29,may,241,0,unknown
30,no,email,16,apr,298,0,unknown
50,no,email,28,jul,72,4,failure
52,no,email,12,may,463,0,unknown
55,no,email,14,aug,632,0,unknown
58,no,email,31,jul,5,0,unknown
49,no,email,24,may,269,0,unknown
27,no,email,11,jul,271,0,unknown
36,no,email,19,nov,136,1,failure
41,no,unknown,15,may,500,0,unknown
42,no,email,7,jul,216,0,unknown
40,no,email,13,may,541,6,failure
53,no,email,9,jul,205,0,unknown
58,no,email,19,aug,145,0,unknown
27,no,email,9,jul,676,0,unknown
36,no,phone,24,jul,119,0,unknown
37,no,unknown,3,jun,45,0,unknown
36,no,email,30,jan,339,0,unknown
32,no,email,16,jul,709,0,unknown
21,no,email,30,jun,258,3,success
41,no,email,5,may,788,0,unknown
34,no,email,7,aug,587,0,unknown
27,no,unknown,26,may,138,0,unknown
67,no,email,6,aug,254,0,unknown
47,no,email,18,aug,697,0,unknown
49,no,email,18,aug,285,0,unknown
40,no,email,12,may,333,3,failure
48,no,email,8,apr,1032,7,failure
42,no,email,19,oct,230,1,success
42,no,unknown,29,may,249,0,unknown
34,no,email,25,jul,53,0,unknown
35,no,unknown,23,may,736,0,unknown
37,no,email,11,mar,129,2,failure
45,no,unknown,11,jun,81,0,unknown
57,no,unknown,30,may,352,0,unknown
59,no,phone,27,mar,234,0,unknown
55,no,email,6,feb,213,0,unknown
61,no,email,21,may,214,0,unknown
28,no,email,15,may,242,0,unknown
33,no,email,22,aug,107,0,unknown
40,no,unknown,8,may,141,0,unknown
39,no,email,27,aug,37,0,unknown
36,no,email,19,nov,111,0,unknown
37,no,unknown,21,may,233,0,unknown
45,no,unknown,1,jun,5,0,unknown
38,no,email,2,jun,167,10,other
77,no,email,14,apr,161,0,unknown
48,no,email,3,feb,47,3,other
42,no,email,11,may,80,4,failure
45,no,email,17,apr,183,2,failure
31,no,email,5,jun,166,0,unknown
46,no,email,10,jul,442,0,unknown
65,no,email,2,aug,245,0,unknown
54,no,email,12,nov,104,2,other
27,no,email,23,jun,204,0,unknown
34,no,email,21,aug,1877,0,unknown
35,yes,email,21,nov,180,0,unknown
27,yes,email,7,may,411,0,unknown
30,no,email,25,jul,1031,0,unknown
34,no,email,17,jun,485,4,failure
34,no,email,12,may,152,6,success
59,no,email,23,jul,286,0,unknown
37,no,email,16,jul,268,3,success
36,no,email,28,aug,81,0,unknown
54,no,email,20,nov,83,0,unknown
28,no,email,7,may,281,0,unknown
28,no,unknown,4,jun,205,0,unknown
32,no,email,21,aug,126,0,unknown
33,no,email,23,oct,130,1,failure
29,no,email,7,may,240,0,unknown
42,no,email,29,aug,82,0,unknown
54,no,phone,18,nov,1034,0,unknown
59,no,email,21,nov,40,0,unknown
33,no,unknown,9,may,162,0,unknown
31,no,email,20,apr,158,1,success
50,no,email,21,nov,397,0,unknown
52,no,email,25,aug,288,0,unknown
35,no,email,17,apr,474,0,unknown
56,no,unknown,17,jun,214,0,unknown
56,no,email,8,jul,212,0,unknown
31,no,email,21,jul,588,0,unknown
33,no,email,13,may,562,0,unknown
28,no,unknown,6,jun,369,0,unknown
71,no,email,17,feb,185,0,unknown
46,no,unknown,19,may,86,0,unknown
49,no,email,8,jul,97,0,unknown
48,no,unknown,4,jun,15,0,unknown
55,no,email,7,aug,353,0,unknown
45,no,email,21,nov,127,2,failure
38,no,email,10,aug,223,4,failure
30,no,email,19,nov,661,0,unknown
29,no,email,12,nov,226,1,other
38,no,email,18,may,442,0,unknown
38,no,email,25,nov,349,1,success
34,no,email,4,feb,265,0,unknown
34,no,unknown,13,may,326,0,unknown
52,no,email,17,nov,189,4,failure
32,no,email,28,aug,77,0,unknown
37,no,unknown,7,may,359,0,unknown
30,no,email,18,may,727,0,unknown
36,no,unknown,13,may,106,0,unknown
37,no,email,13,apr,119,2,failure
25,no,email,7,jul,113,0,unknown
38,no,email,17,nov,213,0,unknown
42,no,email,19,nov,193,0,unknown
49,no,unknown,7,may,984,0,unknown
37,no,unknown,8,may,103,0,unknown
83,no,phone,22,jun,883,1,failure
47,no,email,8,aug,994,0,unknown
31,no,email,8,may,198,0,unknown
40,no,email,29,jan,1473,0,unknown
53,no,email,20,nov,68,0,unknown
34,no,email,6,may,89,1,failure
78,no,phone,22,oct,97,0,unknown
61,no,email,24,feb,481,0,unknown
39,no,unknown,20,may,175,0,unknown
44,no,email,31,jul,113,0,unknown
53,no,email,10,aug,493,14,success
37,no,email,2,feb,204,0,unknown
32,no,email,9,apr,317,0,unknown
48,no,email,21,jul,106,0,unknown
44,no,email,12,aug,1735,0,unknown
28,no,email,29,jan,603,0,unknown
34,no,email,14,may,228,0,unknown
46,no,email,27,mar,229,0,unknown
34,no,email,6,may,172,0,unknown
42,no,unknown,5,may,146,0,unknown
47,no,email,21,aug,71,0,unknown
23,no,email,25,aug,158,0,unknown
31,no,email,27,aug,105,0,unknown
45,no,email,26,apr,1472,4,failure
36,no,unknown,20,may,446,0,unknown
43,no,email,18,jul,635,0,unknown
46,no,email,11,aug,716,0,unknown
57,no,phone,31,jul,25,0,unknown
41,no,email,13,apr,231,0,unknown
35,no,unknown,2,jun,563,0,unknown
41,no,email,21,jul,71,0,unknown
53,no,email,5,aug,129,0,unknown
28,yes,unknown,3,jun,559,0,unknown
59,no,phone,25,may,500,2,failure
40,no,email,11,aug,221,1,success
34,no,email,9,nov,161,2,failure
39,no,email,19,nov,134,0,unknown
49,no,email,19,nov,1081,0,unknown
41,no,email,12,may,463,0,unknown
31,no,unknown,16,may,688,0,unknown
50,no,unknown,8,may,141,0,unknown
26,no,email,5,mar,87,2,success
41,no,email,23,apr,252,5,other
49,no,email,25,may,269,0,unknown
53,no,email,3,dec,352,0,unknown
31,no,email,21,apr,654,0,unknown
36,no,email,7,apr,244,1,failure
30,no,unknown,20,may,610,0,unknown
34,no,phone,11,may,259,0,unknown
49,no,unknown,16,jun,32,0,unknown
30,no,email,11,aug,249,0,unknown
46,no,email,12,aug,1181,0,unknown
33,no,email,12,nov,253,4,failure
34,no,email,3,mar,350,0,unknown
62,no,email,13,oct,78,0,unknown
28,no,email,23,jul,1124,0,unknown
46,no,email,8,may,264,0,unknown
40,no,email,20,nov,97,0,unknown
40,no,email,14,may,173,23,failure
36,no,unknown,26,may,204,0,unknown
35,no,email,5,aug,37,0,unknown
27,no,email,12,nov,192,2,failure
41,no,email,15,jul,955,0,unknown
44,no,unknown,15,may,118,0,unknown
70,no,email,5,apr,172,1,failure
28,no,email,29,jan,79,2,success
55,no,phone,8,may,147,3,failure
26,no,email,30,jul,103,0,unknown
50,no,unknown,15,may,419,0,unknown
38,no,email,4,aug,178,1,success
38,no,email,19,nov,551,1,failure
51,no,phone,16,jul,126,0,unknown
58,no,unknown,9,jun,700,0,unknown
40,no,unknown,17,jun,279,0,unknown
44,no,unknown,15,may,770,0,unknown
31,no,unknown,20,may,378,0,unknown
38,no,email,19,nov,75,5,failure
42,no,email,13,may,721,0,unknown
47,no,email,21,jul,71,0,unknown
29,no,phone,21,apr,403,0,unknown
49,no,email,13,apr,223,2,failure
23,no,unknown,28,may,806,0,unknown
56,no,email,23,jul,442,0,unknown
60,no,email,16,aug,239,1,other
41,no,email,4,may,788,0,unknown
66,no,phone,28,jan,203,1,failure
36,no,unknown,6,jun,250,0,unknown
56,yes,unknown,5,jun,1558,0,unknown
59,no,email,5,jun,493,0,unknown
28,no,email,16,jul,767,0,unknown
54,no,email,5,jun,207,0,unknown
34,no,email,30,apr,430,0,unknown
49,no,phone,7,jul,388,0,unknown
55,no,email,27,oct,96,3,failure
32,no,email,10,sep,185,5,success
45,no,unknown,3,jul,155,0,unknown
34,no,email,28,aug,373,0,unknown
51,no,phone,17,nov,76,0,unknown
48,no,email,18,aug,139,0,unknown
34,no,email,22,jul,203,0,unknown
32,no,email,31,jul,99,0,unknown
41,no,unknown,15,may,221,0,unknown
36,no,email,16,jul,237,1,failure
42,no,email,30,jan,931,0,unknown
35,no,email,4,sep,256,1,failure
27,no,unknown,19,may,205,0,unknown
49,no,email,31,jul,1212,0,unknown
37,no,unknown,17,jun,260,0,unknown
36,no,email,13,may,38,4,failure
41,no,email,7,aug,352,0,unknown
25,no,email,21,jul,71,0,unknown
51,no,email,8,jul,123,0,unknown
33,no,email,29,jan,617,0,unknown
53,yes,unknown,6,jun,161,0,unknown
50,no,email,14,aug,904,0,unknown
33,no,email,30,apr,335,0,unknown
32,no,email,15,may,16,1,failure
36,no,email,16,nov,270,0,unknown
46,no,phone,14,jul,44,0,unknown
47,no,email,29,jul,114,0,unknown
28,no,unknown,4,jun,606,0,unknown
45,no,unknown,14,may,126,0,unknown
53,no,email,5,apr,558,0,unknown
35,no,email,26,aug,286,0,unknown
73,no,email,23,oct,427,2,failure
60,no,email,22,dec,190,9,success
24,no,email,18,may,487,0,unknown
32,no,unknown,19,may,343,0,unknown
29,no,email,2,feb,125,0,unknown
47,no,email,12,jul,250,4,success
48,no,email,14,may,24,0,unknown
38,no,email,6,may,606,0,unknown
31,no,email,15,may,385,9,other
56,no,email,18,aug,150,0,unknown
29,no,email,13,apr,1101,0,unknown
51,no,email,13,may,79,1,failure
47,no,unknown,14,may,389,0,unknown
60,no,email,3,jun,593,0,unknown
35,no,email,23,sep,112,6,other
47,no,unknown,6,may,135,0,unknown
37,no,unknown,18,jun,165,0,unknown
29,no,unknown,19,may,30,1,other
73,no,email,28,jan,399,0,unknown
25,no,email,18,sep,267,2,failure
43,yes,email,29,aug,73,0,unknown
36,no,email,4,aug,293,2,other
32,no,email,12,may,215,0,unknown
30,no,unknown,4,jun,99,0,unknown
41,no,email,21,nov,549,0,unknown
83,no,phone,31,may,664,3,success
34,no,unknown,23,may,350,0,unknown
76,no,phone,9,feb,68,0,unknown
33,no,phone,17,jul,1448,0,unknown
34,no,unknown,28,may,185,0,unknown
32,no,unknown,21,may,860,0,unknown
29,no,email,11,aug,91,0,unknown
56,no,phone,3,jul,353,0,unknown
51,no,email,8,jun,458,0,unknown
40,no,email,11,may,474,1,success
30,no,email,30,apr,633,2,success
26,no,phone,18,jun,280,5,other
59,no,email,15,apr,159,3,failure
55,no,unknown,15,may,126,0,unknown
38,no,email,27,mar,164,2,failure
60,no,email,14,aug,136,0,unknown
37,no,unknown,26,may,24,0,unknown
29,no,email,18,may,1434,4,failure
26,yes,unknown,13,may,181,0,unknown
36,no,email,12,aug,307,0,unknown
34,no,email,15,jun,441,1,other
58,no,phone,18,nov,52,3,other
33,no,email,18,jul,968,0,unknown
37,no,email,21,apr,146,0,unknown
53,no,unknown,28,may,213,0,unknown
44,no,email,12,may,165,1,failure
31,no,email,24,jul,1441,0,unknown
60,no,email,26,may,149,0,unknown
41,no,email,9,jul,74,0,unknown
33,no,email,18,jul,305,0,unknown
59,no,unknown,29,may,240,0,unknown
40,no,email,22,aug,197,0,unknown
29,no,email,12,jun,234,1,failure
42,no,email,23,jul,698,0,unknown
40,no,unknown,13,may,92,0,unknown
37,no,email,6,may,140,0,unknown
58,no,email,17,nov,279,0,unknown
42,no,email,13,may,951,4,failure
61,no,email,12,mar,212,0,unknown
31,no,email,16,jul,410,0,unknown
43,no,email,20,nov,1258,2,other
45,no,email,24,jul,873,0,unknown
27,no,email,22,jul,427,0,unknown
37,no,email,8,may,318,1,success
61,no,email,2,feb,670,0,unknown
47,no,email,28,aug,1126,0,unknown
44,no,unknown,19,jun,82,0,unknown
49,no,email,29,jan,165,0,unknown
31,no,unknown,28,may,217,0,unknown
31,no,email,15,jul,58,0,unknown
59,no,email,14,jan,309,10,success
48,no,email,1,jun,264,0,unknown
52,no,email,18,feb,220,5,failure
35,no,email,8,aug,275,0,unknown
34,no,email,15,may,259,0,unknown
31,no,email,21,jul,357,0,unknown
53,no,unknown,16,jun,226,0,unknown
38,no,email,15,may,57,1,other
50,no,email,9,jun,239,0,unknown
21,no,phone,5,jun,329,1,other
47,no,email,30,apr,968,5,failure
35,no,email,23,apr,93,0,unknown
53,no,email,13,aug,205,0,unknown
24,no,email,20,apr,369,0,unknown
22,no,phone,12,may,25,0,unknown
52,no,email,4,feb,489,0,unknown
32,no,unknown,26,may,116,0,unknown
60,no,unknown,19,jun,39,0,unknown
34,no,email,25,may,213,0,unknown
32,no,email,14,may,563,0,unknown
49,no,email,23,jul,286,0,unknown
39,no,email,10,feb,691,5,failure
39,no,email,15,may,667,3,other
44,no,email,6,may,337,0,unknown
47,no,email,27,oct,508,0,unknown
38,no,email,30,jan,140,3,other
31,no,unknown,21,may,32,0,unknown
31,no,email,4,feb,73,0,unknown
34,no,email,18,nov,162,3,failure
32,yes,email,18,may,82,2,other
49,no,email,13,aug,354,0,unknown
47,no,phone,6,aug,239,0,unknown
41,no,email,3,apr,154,0,unknown
32,no,email,20,apr,219,0,unknown
51,no,email,18,aug,151,0,unknown
30,no,unknown,6,jun,91,0,unknown
40,no,email,3,jul,318,3,failure
34,no,email,16,jun,298,0,unknown
33,no,email,22,oct,249,2,failure
44,no,email,12,may,897,0,unknown
33,no,email,20,nov,67,0,unknown
46,no,phone,17,oct,270,0,unknown
55,no,email,22,aug,256,0,unknown
43,no,email,4,jul,668,0,unknown
45,no,email,29,jan,244,0,unknown
38,no,email,12,may,193,0,unknown
30,no,email,16,jul,435,0,unknown
31,no,email,3,feb,39,0,unknown
33,no,email,29,jun,421,0,unknown
34,no,email,8,aug,70,0,unknown
27,no,unknown,28,may,543,0,unknown
33,no,email,3,feb,439,0,unknown
52,no,unknown,19,may,144,0,unknown
32,no,email,22,apr,319,1,success
52,no,email,7,aug,134,0,unknown
32,no,email,20,aug,94,0,unknown
30,no,email,21,nov,436,3,other
45,no,email,28,aug,14,0,unknown
34,no,email,14,aug,518,0,unknown
30,no,email,10,jul,128,0,unknown
54,no,email,3,feb,237,0,unknown
38,no,email,21,nov,663,0,unknown
34,no,unknown,2,jun,70,0,unknown
33,no,email,4,may,218,0,unknown
55,yes,email,2,feb,781,0,unknown
49,no,email,15,may,64,0,unknown
44,no,email,8,aug,809,0,unknown
39,yes,email,6,may,488,0,unknown
52,no,email,11,may,94,0,unknown
66,no,email,28,jan,216,4,success
56,no,email,15,jun,382,0,unknown
53,no,email,13,aug,112,0,unknown
62,no,email,13,oct,216,4,success
44,no,email,13,nov,167,1,success
58,no,email,3,feb,84,2,failure
74,no,phone,17,apr,394,0,unknown
55,no,email,4,sep,328,2,success
27,no,unknown,4,jun,172,0,unknown
36,no,email,29,jul,102,0,unknown
75,no,phone,15,apr,185,2,success
42,no,email,13,aug,325,0,unknown
38,no,unknown,12,jun,122,0,unknown
55,no,email,5,jun,103,1,other
36,no,unknown,26,may,314,0,unknown
31,no,email,15,jul,252,3,success
28,no,email,6,feb,129,3,other
47,no,unknown,27,may,62,0,unknown
25,yes,unknown,3,jun,233,0,unknown
32,no,email,20,apr,121,0,unknown
40,no,unknown,11,jun,140,0,unknown
35,no,unknown,23,may,55,0,unknown
31,no,email,21,nov,316,9,other
31,no,unknown,12,jun,93,0,unknown
60,no,email,15,may,241,1,failure
35,no,email,9,nov,524,5,success
35,no,phone,29,oct,171,0,unknown
28,no,email,19,jun,474,3,other
44,no,unknown,7,may,110,0,unknown
32,no,email,5,may,159,2,failure
43,no,unknown,26,may,82,0,unknown
28,no,email,15,feb,659,0,unknown
55,no,email,30,jul,814,0,unknown
56,no,email,5,feb,139,0,unknown
36,no,email,19,nov,107,0,unknown
54,no,unknown,13,may,618,0,unknown
28,no,unknown,24,aug,5,0,unknown
32,no,email,11,sep,100,0,unknown
37,no,unknown,18,jun,114,0,unknown
38,no,email,6,feb,39,0,unknown
34,no,email,31,jul,56,0,unknown
34,no,email,16,jul,574,0,unknown
36,no,email,30,apr,260,0,unknown
33,no,email,22,aug,182,0,unknown
38,no,unknown,16,jun,301,0,unknown
35,no,email,21,nov,808,0,unknown
39,no,unknown,6,jun,554,0,unknown
48,no,email,21,nov,609,0,unknown
59,no,email,15,may,44,0,unknown
39,no,unknown,2,jun,526,0,unknown
45,no,unknown,3,jun,1259,0,unknown
49,no,unknown,13,nov,231,0,unknown
51,no,email,12,aug,417,9,other
45,no,unknown,12,jun,36,0,unknown
34,no,email,14,apr,142,0,unknown
34,no,email,9,jul,134,0,unknown
45,no,unknown,30,may,891,0,unknown
50,no,email,19,aug,195,0,unknown
44,no,email,29,jan,244,0,unknown
40,no,email,23,feb,228,6,failure
25,no,email,21,jul,857,0,unknown
34,no,email,15,jun,177,0,unknown
50,no,phone,31,jul,1088,0,unknown
24,no,email,27,oct,184,2,failure
37,no,email,18,nov,291,0,unknown
55,no,phone,2,feb,59,2,other
28,no,email,1,sep,199,14,success
35,no,email,14,may,73,0,unknown
36,no,email,31,jul,30,0,unknown
52,no,email,26,aug,1223,0,unknown
38,no,email,20,nov,48,0,unknown
59,no,email,15,jun,415,1,success
25,no,email,30,jul,62,0,unknown
47,no,unknown,12,jun,993,0,unknown
58,no,email,27,aug,104,0,unknown
41,no,email,20,apr,74,0,unknown
42,no,email,3,aug,654,0,unknown
48,no,email,11,aug,206,1,failure
38,no,email,6,may,17,2,failure
26,no,unknown,26,may,111,0,unknown
29,no,email,15,may,133,0,unknown
53,no,unknown,23,may,331,0,unknown
41,no,email,8,may,239,2,failure
37,no,email,27,apr,124,0,unknown
31,no,email,17,apr,279,0,unknown
46,no,email,6,may,105,2,failure
60,no,email,29,jan,188,2,failure
54,no,email,8,aug,420,0,unknown
27,no,email,16,jul,652,0,unknown
37,no,unknown,29,may,645,0,unknown
40,no,unknown,29,may,660,0,unknown
51,no,unknown,1,jun,8,2,failure
52,no,unknown,15,may,391,0,unknown
34,no,unknown,27,may,157,0,unknown
45,no,unknown,5,jun,1018,0,unknown
40,no,unknown,20,jun,269,0,unknown
27,no,email,23,jun,205,0,unknown
47,no,email,22,aug,618,0,unknown
27,no,email,3,feb,65,0,unknown
31,no,unknown,23,may,248,0,unknown
44,no,email,22,jul,712,0,unknown
46,no,email,23,jul,442,0,unknown
48,no,unknown,29,may,413,0,unknown
53,no,email,22,aug,528,0,unknown
27,no,email,12,may,13,0,unknown
34,no,phone,19,nov,377,4,success
24,no,email,7,jul,113,0,unknown
51,no,email,23,jul,1309,0,unknown
33,no,unknown,20,jun,27,0,unknown
41,no,email,17,nov,984,0,unknown
26,no,email,15,jun,129,0,unknown
32,no,email,17,apr,245,2,failure
36,no,email,28,aug,207,1,failure
53,no,email,18,jul,91,0,unknown
40,no,unknown,6,jun,94,0,unknown
37,no,email,26,may,500,0,unknown
33,no,unknown,20,sep,9,0,unknown
56,no,phone,17,jul,27,0,unknown
32,no,email,4,feb,1579,4,failure
31,no,email,29,aug,156,0,unknown
48,no,email,19,nov,37,0,unknown
31,no,email,13,aug,657,0,unknown
59,no,email,5,may,200,0,unknown
26,no,email,28,jan,1451,0,unknown
46,no,unknown,4,may,1467,0,unknown
51,no,email,15,may,415,1,failure
28,no,email,2,feb,97,0,unknown
45,no,unknown,9,jun,225,0,unknown
46,no,email,14,may,141,2,other
59,no,unknown,29,may,57,0,unknown
59,no,email,24,dec,237,2,failure
35,no,email,19,aug,299,0,unknown
46,no,email,7,may,304,0,unknown
47,no,email,14,may,225,1,failure
33,no,unknown,16,may,767,0,unknown
27,no,email,22,sep,569,0,unknown
26,no,email,30,apr,457,1,success
33,no,email,20,nov,766,0,unknown
34,no,email,14,oct,104,19,failure
40,no,email,14,jul,109,0,unknown
43,no,email,29,jan,24,0,unknown
47,no,unknown,9,may,165,0,unknown
40,no,email,11,may,50,0,unknown
30,no,email,18,may,16,1,other
32,no,email,5,feb,550,0,unknown
30,no,email,27,feb,30,0,unknown
35,no,email,22,aug,77,0,unknown
32,no,email,18,may,442,8,failure
35,no,unknown,26,may,434,0,unknown
43,no,email,15,jul,88,0,unknown
60,no,unknown,19,jun,39,0,unknown
51,no,email,16,oct,95,0,unknown
32,no,email,7,aug,90,0,unknown
30,no,email,14,jul,203,2,failure
36,no,unknown,26,may,99,0,unknown
28,no,email,30,apr,278,0,unknown
44,no,email,27,oct,418,0,unknown
53,no,email,11,may,238,5,failure
31,no,email,25,aug,121,0,unknown
61,no,email,10,mar,106,0,unknown
58,no,email,13,nov,495,1,success
43,no,unknown,16,may,122,0,unknown
34,no,email,14,apr,342,0,unknown
39,no,email,18,nov,48,3,failure
55,no,phone,14,jul,252,0,unknown
39,no,email,23,oct,56,0,unknown
27,no,email,6,may,653,2,success
23,no,unknown,20,jun,13,0,unknown
48,no,unknown,9,jun,65,0,unknown
34,no,email,7,jul,273,0,unknown
72,no,email,24,apr,384,0,unknown
57,no,unknown,13,may,227,0,unknown
28,no,email,28,sep,294,7,other
43,no,unknown,29,may,57,0,unknown
30,yes,email,30,jul,185,0,unknown
30,no,unknown,9,may,20,0,unknown
26,no,email,31,jul,14,0,unknown
28,no,email,28,jul,383,0,unknown
45,no,email,29,aug,150,0,unknown
27,no,unknown,5,jun,590,0,unknown
28,no,email,25,jul,40,0,unknown
49,no,email,28,aug,173,0,unknown
27,no,unknown,23,may,78,0,unknown
27,no,unknown,1,jul,650,0,unknown
31,no,phone,20,nov,55,0,unknown
39,no,unknown,17,jun,775,0,unknown
43,no,email,19,nov,1014,2,other
26,no,unknown,20,jun,18,0,unknown
25,no,email,17,nov,386,0,unknown
32,no,email,17,jul,1275,0,unknown
