@relation 'marketing-18204307-weka.filters.unsupervised.attribute.Remove-R1,4-6,14,17'

@attribute job {education,tech,entrepreneur,retail,management,retired,self-employed,services,student,construction,unemployed,unknown}
@attribute status {divorced,married,single}
@attribute housing_loan {no,yes}
@attribute personal_loan {no,yes}
@attribute contact {email,phone,unknown}
@attribute contact_day numeric
@attribute contact_month {apr,aug,dec,feb,jan,jul,jun,mar,may,nov,oct,sep}
@attribute contact_duration numeric
@attribute num_contacts numeric
@attribute num_last numeric
@attribute last_outcome {failure,other,success,unknown}

@data
tech,married,no,yes,email,24,jul,651,1,0,unknown
management,married,no,no,email,14,aug,636,2,0,unknown
retired,married,no,no,email,25,jan,423,1,0,unknown
tech,single,yes,no,unknown,2,jun,193,2,0,unknown
tech,married,yes,yes,email,18,may,732,2,5,failure
retail,married,yes,no,unknown,30,oct,154,1,0,unknown
tech,married,yes,no,email,6,may,410,1,0,unknown
management,married,no,no,unknown,5,jun,1009,2,0,unknown
management,married,no,no,phone,8,sep,376,2,0,unknown
services,married,no,no,email,8,aug,780,4,0,unknown
services,single,yes,no,unknown,28,may,443,2,0,unknown
retail,single,no,no,email,5,feb,110,2,2,success
services,divorced,yes,no,email,7,may,623,1,1,success
services,married,no,no,email,18,jul,439,3,0,unknown
construction,married,yes,no,email,4,feb,419,2,0,unknown
student,single,no,no,email,16,jul,205,1,0,unknown
student,single,no,no,email,10,jul,104,2,0,unknown
self-employed,single,no,no,email,7,sep,310,2,2,other
management,married,no,no,email,5,aug,389,1,2,success
education,married,no,no,unknown,5,may,1467,1,0,unknown
management,single,yes,no,email,17,apr,128,3,0,unknown
tech,single,yes,no,unknown,1,jul,479,9,0,unknown
construction,single,yes,no,email,18,may,1173,3,6,success
entrepreneur,married,yes,yes,email,28,aug,137,8,0,unknown
management,married,no,no,email,13,aug,202,1,5,failure
student,single,no,no,unknown,20,aug,6,1,0,unknown
retired,married,no,no,email,9,feb,479,1,0,unknown
retail,married,no,no,email,15,apr,99,1,0,unknown
construction,single,yes,no,unknown,16,may,489,2,0,unknown
construction,single,yes,no,email,21,aug,239,8,0,unknown
services,single,no,no,email,2,jul,356,1,0,unknown
tech,single,yes,no,email,18,may,827,2,0,unknown
education,divorced,yes,no,email,12,may,515,1,5,failure
construction,single,no,no,email,22,aug,112,2,0,unknown
management,divorced,no,no,unknown,17,jun,564,2,0,unknown
construction,single,yes,no,email,13,may,63,1,0,unknown
tech,married,yes,no,email,2,feb,212,1,2,other
construction,married,yes,no,email,20,apr,137,1,2,failure
tech,single,yes,no,unknown,30,may,570,2,0,unknown
self-employed,married,no,no,email,6,aug,165,4,0,unknown
construction,single,yes,no,email,12,aug,130,2,0,unknown
services,divorced,yes,yes,unknown,6,may,121,2,0,unknown
retail,married,yes,no,phone,21,jul,171,1,0,unknown
construction,married,no,no,email,19,nov,256,3,0,unknown
construction,married,yes,no,email,4,may,352,4,0,unknown
tech,married,yes,no,unknown,2,jun,777,4,0,unknown
tech,married,yes,no,email,14,nov,132,1,0,unknown
management,single,no,no,email,21,aug,686,5,0,unknown
management,single,no,no,email,2,feb,258,1,1,failure
management,married,no,no,email,30,apr,297,1,3,success
services,divorced,yes,no,email,17,nov,150,1,0,unknown
services,married,no,no,unknown,4,jul,134,1,0,unknown
entrepreneur,divorced,yes,no,email,30,jul,988,2,0,unknown
tech,married,yes,no,email,18,jul,154,2,0,unknown
unknown,married,no,no,phone,6,aug,256,1,0,unknown
tech,divorced,yes,no,unknown,23,may,1030,1,0,unknown
tech,married,yes,no,email,20,apr,122,2,0,unknown
tech,married,yes,no,unknown,21,may,281,1,0,unknown
retired,married,no,no,phone,18,mar,165,3,1,other
services,married,no,no,phone,9,feb,1971,4,0,unknown
tech,married,yes,no,unknown,13,may,326,4,0,unknown
self-employed,single,no,no,unknown,18,jun,1029,1,0,unknown
management,divorced,no,no,email,26,aug,125,2,0,unknown
unemployed,married,yes,yes,email,16,apr,670,1,0,unknown
management,single,no,no,email,23,feb,141,2,3,failure
tech,single,no,yes,email,20,nov,477,1,0,unknown
retail,married,no,no,email,10,aug,1225,2,0,unknown
education,married,no,yes,phone,8,jul,77,2,0,unknown
retail,married,no,no,unknown,9,jun,257,2,0,unknown
management,married,yes,no,email,19,nov,277,1,0,unknown
education,single,yes,no,email,17,apr,758,2,0,unknown
education,divorced,no,no,email,2,apr,397,2,0,unknown
services,married,no,no,email,30,apr,475,2,0,unknown
construction,married,no,no,phone,14,aug,159,2,6,success
unemployed,married,yes,no,unknown,20,may,350,4,0,unknown
education,married,no,no,email,3,nov,289,1,0,unknown
management,single,no,no,email,9,sep,344,1,1,failure
management,married,yes,no,email,8,oct,272,1,8,other
tech,single,no,yes,email,21,nov,150,2,0,unknown
tech,single,no,yes,email,21,jul,574,1,0,unknown
tech,married,yes,no,unknown,20,may,120,1,0,unknown
construction,divorced,yes,no,email,7,aug,429,3,0,unknown
management,single,no,no,email,18,aug,882,8,0,unknown
tech,divorced,yes,no,email,3,apr,296,1,3,failure
management,divorced,yes,no,email,14,may,72,1,2,other
education,married,no,no,email,16,jul,136,8,0,unknown
management,single,no,no,email,17,feb,485,1,0,unknown
retired,married,no,no,unknown,11,jun,1199,1,0,unknown
student,single,no,no,email,6,aug,101,5,6,other
retail,married,no,no,email,30,jan,169,3,0,unknown
services,married,yes,yes,email,16,jul,715,1,0,unknown
management,married,no,no,email,4,may,198,2,1,other
construction,single,no,no,email,28,jan,321,2,0,unknown
education,married,no,no,unknown,19,jun,227,6,0,unknown
construction,single,no,no,email,12,aug,587,2,0,unknown
education,single,yes,no,email,17,apr,508,1,11,success
self-employed,married,yes,no,email,11,aug,206,1,1,failure
unemployed,single,no,no,email,1,jun,377,1,0,unknown
management,married,no,no,email,20,nov,230,1,0,unknown
entrepreneur,married,yes,no,unknown,27,may,347,1,0,unknown
construction,married,yes,no,email,18,aug,460,2,0,unknown
management,married,no,no,email,29,aug,24,13,0,unknown
tech,divorced,no,yes,unknown,21,may,339,1,0,unknown
construction,single,yes,no,email,13,aug,1149,6,0,unknown
entrepreneur,married,yes,yes,unknown,27,may,492,2,0,unknown
tech,married,yes,no,phone,28,jan,526,4,3,other
tech,divorced,yes,no,email,12,may,725,1,0,unknown
management,married,no,no,email,11,nov,269,2,0,unknown
student,single,no,no,email,22,apr,107,2,0,unknown
self-employed,married,yes,no,unknown,23,may,121,2,0,unknown
construction,married,yes,no,unknown,29,may,241,3,0,unknown
management,single,no,no,email,16,apr,298,4,0,unknown
education,divorced,no,no,email,28,jul,72,2,4,failure
retired,single,no,no,email,12,may,463,3,0,unknown
retired,married,no,no,email,14,aug,632,4,0,unknown
tech,married,yes,no,email,31,jul,5,25,0,unknown
construction,married,yes,no,email,24,may,269,1,0,unknown
education,single,no,no,email,11,jul,271,5,0,unknown
self-employed,married,yes,no,email,19,nov,136,1,1,failure
education,married,yes,no,unknown,15,may,500,1,0,unknown
construction,married,yes,no,email,7,jul,216,5,0,unknown
services,married,yes,yes,email,13,may,541,1,6,failure
tech,married,yes,no,email,9,jul,205,1,0,unknown
management,married,no,no,email,19,aug,145,7,0,unknown
construction,single,no,yes,email,9,jul,676,5,0,unknown
education,single,no,no,phone,24,jul,119,2,0,unknown
tech,married,no,no,unknown,3,jun,45,2,0,unknown
unemployed,married,no,no,email,30,jan,339,3,0,unknown
tech,married,yes,no,email,16,jul,709,2,0,unknown
student,single,no,no,email,30,jun,258,6,3,success
management,married,yes,no,email,5,may,788,1,0,unknown
construction,divorced,yes,no,email,7,aug,587,2,0,unknown
self-employed,married,yes,no,unknown,26,may,138,2,0,unknown
retired,married,no,no,email,6,aug,254,2,0,unknown
construction,married,no,no,email,18,aug,697,4,0,unknown
services,married,yes,no,email,18,aug,285,7,0,unknown
management,single,no,no,email,12,may,333,1,3,failure
management,married,yes,no,email,8,apr,1032,3,7,failure
management,married,no,no,email,19,oct,230,1,1,success
construction,married,no,no,unknown,29,may,249,2,0,unknown
management,married,yes,no,email,25,jul,53,5,0,unknown
self-employed,divorced,yes,no,unknown,23,may,736,2,0,unknown
management,married,no,no,email,11,mar,129,4,2,failure
unknown,married,no,no,unknown,11,jun,81,1,0,unknown
construction,married,yes,no,unknown,30,may,352,3,0,unknown
retired,married,no,no,phone,27,mar,234,2,0,unknown
entrepreneur,married,no,no,email,6,feb,213,2,0,unknown
construction,married,no,no,email,21,may,214,4,0,unknown
tech,married,yes,no,email,15,may,242,1,0,unknown
management,single,no,no,email,22,aug,107,6,0,unknown
services,single,no,no,unknown,8,may,141,2,0,unknown
management,single,yes,no,email,27,aug,37,3,0,unknown
education,married,no,no,email,19,nov,111,1,0,unknown
tech,married,yes,no,unknown,21,may,233,1,0,unknown
management,divorced,no,no,unknown,1,jun,5,1,0,unknown
construction,married,no,no,email,2,jun,167,1,10,other
retired,divorced,no,no,email,14,apr,161,1,0,unknown
construction,married,no,yes,email,3,feb,47,2,3,other
education,married,yes,no,email,11,may,80,1,4,failure
construction,divorced,yes,no,email,17,apr,183,1,2,failure
tech,married,no,yes,email,5,jun,166,2,0,unknown
education,divorced,no,yes,email,10,jul,442,1,0,unknown
retired,divorced,no,no,email,2,aug,245,2,0,unknown
unknown,married,no,no,email,12,nov,104,1,2,other
management,single,no,no,email,23,jun,204,3,0,unknown
self-employed,single,no,no,email,21,aug,1877,3,0,unknown
management,married,yes,no,email,21,nov,180,1,0,unknown
tech,married,yes,no,email,7,may,411,2,0,unknown
management,single,yes,yes,email,25,jul,1031,8,0,unknown
management,married,yes,no,email,17,jun,485,2,4,failure
services,married,no,no,email,12,may,152,1,6,success
services,married,no,no,email,23,jul,286,2,0,unknown
management,married,no,no,email,16,jul,268,2,3,success
management,divorced,no,no,email,28,aug,81,4,0,unknown
management,married,yes,no,email,20,nov,83,1,0,unknown
construction,single,yes,no,email,7,may,281,1,0,unknown
construction,single,yes,no,unknown,4,jun,205,6,0,unknown
construction,single,no,no,email,21,aug,126,2,0,unknown
services,divorced,yes,no,email,23,oct,130,1,1,failure
services,divorced,yes,no,email,7,may,240,1,0,unknown
construction,married,no,no,email,29,aug,82,12,0,unknown
management,divorced,yes,yes,phone,18,nov,1034,1,0,unknown
management,married,no,no,email,21,nov,40,1,0,unknown
tech,married,yes,no,unknown,9,may,162,2,0,unknown
tech,married,yes,no,email,20,apr,158,1,1,success
education,married,yes,no,email,21,nov,397,2,0,unknown
services,married,no,yes,email,25,aug,288,12,0,unknown
tech,married,yes,no,email,17,apr,474,2,0,unknown
management,married,no,no,unknown,17,jun,214,8,0,unknown
retail,married,no,yes,email,8,jul,212,1,0,unknown
education,divorced,yes,no,email,21,jul,588,1,0,unknown
management,married,yes,no,email,13,may,562,1,0,unknown
tech,married,yes,no,unknown,6,jun,369,2,0,unknown
retired,married,no,no,email,17,feb,185,1,0,unknown
management,divorced,yes,no,unknown,19,may,86,7,0,unknown
management,single,yes,no,email,8,jul,97,3,0,unknown
tech,single,yes,no,unknown,4,jun,15,1,0,unknown
entrepreneur,divorced,yes,no,email,7,aug,353,2,0,unknown
management,divorced,no,no,email,21,nov,127,1,2,failure
entrepreneur,single,no,no,email,10,aug,223,1,4,failure
student,single,yes,no,email,19,nov,661,1,0,unknown
management,single,no,no,email,12,nov,226,1,1,other
entrepreneur,married,yes,no,email,18,may,442,1,0,unknown
management,married,no,no,email,25,nov,349,2,1,success
management,married,yes,no,email,4,feb,265,1,0,unknown
tech,married,yes,no,unknown,13,may,326,4,0,unknown
construction,married,no,yes,email,17,nov,189,2,4,failure
management,single,no,no,email,28,aug,77,4,0,unknown
services,married,yes,no,unknown,7,may,359,1,0,unknown
tech,single,yes,no,email,18,may,727,2,0,unknown
education,married,yes,yes,unknown,13,may,106,1,0,unknown
tech,married,yes,no,email,13,apr,119,2,2,failure
tech,single,yes,no,email,7,jul,113,4,0,unknown
management,single,yes,no,email,17,nov,213,2,0,unknown
education,married,yes,yes,email,19,nov,193,3,0,unknown
tech,married,yes,no,unknown,7,may,984,1,0,unknown
construction,single,yes,no,unknown,8,may,103,3,0,unknown
retired,married,no,no,phone,22,jun,883,1,1,failure
services,married,no,yes,email,8,aug,994,2,0,unknown
construction,single,yes,no,email,8,may,198,1,0,unknown
management,single,no,no,email,29,jan,1473,1,0,unknown
entrepreneur,married,no,no,email,20,nov,68,1,0,unknown
services,divorced,yes,no,email,6,may,89,1,1,failure
retired,divorced,no,no,phone,22,oct,97,1,0,unknown
self-employed,divorced,no,no,email,24,feb,481,2,0,unknown
services,married,yes,no,unknown,20,may,175,2,0,unknown
services,married,no,no,email,31,jul,113,6,0,unknown
unemployed,married,no,no,email,10,aug,493,1,14,success
management,married,no,yes,email,2,feb,204,1,0,unknown
tech,married,yes,no,email,9,apr,317,5,0,unknown
retired,single,no,no,email,21,jul,106,3,0,unknown
construction,single,yes,no,email,12,aug,1735,4,0,unknown
education,single,no,no,email,29,jan,603,2,0,unknown
tech,married,yes,no,email,14,may,228,1,0,unknown
education,married,yes,no,email,27,mar,229,2,0,unknown
education,single,yes,yes,email,6,may,172,4,0,unknown
education,single,yes,no,unknown,5,may,146,2,0,unknown
management,single,no,no,email,21,aug,71,4,0,unknown
student,single,no,no,email,25,aug,158,2,0,unknown
management,single,no,no,email,27,aug,105,2,0,unknown
tech,single,yes,no,email,26,apr,1472,1,4,failure
tech,married,yes,no,unknown,20,may,446,1,0,unknown
entrepreneur,married,yes,no,email,18,jul,635,3,0,unknown
management,divorced,no,no,email,11,aug,716,3,0,unknown
tech,married,yes,no,phone,31,jul,25,8,0,unknown
education,married,yes,no,email,13,apr,231,1,0,unknown
services,married,yes,no,unknown,2,jun,563,1,0,unknown
services,married,no,no,email,21,jul,71,9,0,unknown
management,married,no,no,email,5,aug,129,4,0,unknown
construction,single,yes,no,unknown,3,jun,559,7,0,unknown
management,married,no,no,phone,25,may,500,4,2,failure
education,single,yes,no,email,11,aug,221,1,1,success
education,married,yes,no,email,9,nov,161,1,2,failure
entrepreneur,married,yes,yes,email,19,nov,134,1,0,unknown
management,married,yes,no,email,19,nov,1081,2,0,unknown
tech,married,yes,no,email,12,may,463,1,0,unknown
tech,married,yes,no,unknown,16,may,688,1,0,unknown
services,single,no,no,unknown,8,may,141,2,0,unknown
student,single,no,no,email,5,mar,87,1,2,success
management,divorced,no,no,email,23,apr,252,9,5,other
construction,married,yes,no,email,25,may,269,1,0,unknown
unemployed,married,yes,no,email,3,dec,352,1,0,unknown
retail,single,no,no,email,21,apr,654,2,0,unknown
education,divorced,yes,no,email,7,apr,244,3,1,failure
tech,married,yes,no,unknown,20,may,610,2,0,unknown
construction,single,no,no,phone,11,may,259,4,0,unknown
services,divorced,no,no,unknown,16,jun,32,3,0,unknown
management,married,yes,no,email,11,aug,249,5,0,unknown
self-employed,married,no,no,email,12,aug,1181,4,0,unknown
services,married,no,no,email,12,nov,253,1,4,failure
tech,single,no,no,email,3,mar,350,3,0,unknown
management,married,no,no,email,13,oct,78,3,0,unknown
student,single,no,no,email,23,jul,1124,2,0,unknown
tech,married,yes,no,email,8,may,264,2,0,unknown
tech,married,yes,no,email,20,nov,97,2,0,unknown
tech,married,yes,no,email,14,may,173,6,23,failure
management,married,yes,no,unknown,26,may,204,1,0,unknown
management,divorced,no,yes,email,5,aug,37,2,0,unknown
student,single,no,no,email,12,nov,192,2,2,failure
tech,divorced,no,yes,email,15,jul,955,5,0,unknown
construction,divorced,yes,no,unknown,15,may,118,4,0,unknown
retired,married,no,no,email,5,apr,172,3,1,failure
education,married,yes,no,email,29,jan,79,1,2,success
management,divorced,yes,no,phone,8,may,147,2,3,failure
tech,single,no,no,email,30,jul,103,3,0,unknown
retail,married,yes,no,unknown,15,may,419,2,0,unknown
management,married,no,no,email,4,aug,178,1,1,success
tech,married,yes,no,email,19,nov,551,1,1,failure
tech,married,no,no,phone,16,jul,126,4,0,unknown
self-employed,divorced,no,no,unknown,9,jun,700,1,0,unknown
self-employed,married,no,no,unknown,17,jun,279,1,0,unknown
management,married,yes,no,unknown,15,may,770,2,0,unknown
unemployed,married,yes,no,unknown,20,may,378,3,0,unknown
construction,married,yes,no,email,19,nov,75,2,5,failure
tech,married,yes,no,email,13,may,721,1,0,unknown
services,married,no,yes,email,21,jul,71,15,0,unknown
tech,single,no,no,phone,21,apr,403,1,0,unknown
education,married,yes,no,email,13,apr,223,1,2,failure
construction,single,yes,no,unknown,28,may,806,1,0,unknown
construction,married,no,yes,email,23,jul,442,2,0,unknown
services,married,yes,no,email,16,aug,239,3,1,other
management,married,yes,no,email,4,may,788,1,0,unknown
retired,married,no,no,phone,28,jan,203,3,1,failure
services,divorced,no,no,unknown,6,jun,250,3,0,unknown
retail,divorced,no,no,unknown,5,jun,1558,1,0,unknown
retired,married,no,no,email,5,jun,493,2,0,unknown
management,single,yes,no,email,16,jul,767,5,0,unknown
management,married,no,no,email,5,jun,207,1,0,unknown
self-employed,single,no,no,email,30,apr,430,1,0,unknown
retail,married,no,no,phone,7,jul,388,1,0,unknown
education,married,yes,no,email,27,oct,96,1,3,failure
tech,married,yes,no,email,10,sep,185,1,5,success
services,divorced,no,no,unknown,3,jul,155,2,0,unknown
management,single,yes,no,email,28,aug,373,8,0,unknown
services,divorced,yes,no,phone,17,nov,76,1,0,unknown
education,married,no,no,email,18,aug,139,5,0,unknown
management,single,no,no,email,22,jul,203,4,0,unknown
services,single,yes,no,email,31,jul,99,13,0,unknown
construction,married,yes,no,unknown,15,may,221,4,0,unknown
management,divorced,no,no,email,16,jul,237,2,1,failure
education,divorced,no,no,email,30,jan,931,1,0,unknown
construction,married,yes,no,email,4,sep,256,2,1,failure
tech,single,yes,no,unknown,19,may,205,3,0,unknown
management,divorced,no,no,email,31,jul,1212,4,0,unknown
services,single,no,yes,unknown,17,jun,260,4,0,unknown
construction,married,yes,no,email,13,may,38,2,4,failure
self-employed,married,no,no,email,7,aug,352,2,0,unknown
services,single,no,no,email,21,jul,71,11,0,unknown
retired,married,no,yes,email,8,jul,123,4,0,unknown
management,single,no,no,email,29,jan,617,2,0,unknown
retired,divorced,no,yes,unknown,6,jun,161,1,0,unknown
management,single,no,no,email,14,aug,904,3,0,unknown
education,married,yes,no,email,30,apr,335,1,0,unknown
tech,married,yes,no,email,15,may,16,9,1,failure
management,single,yes,no,email,16,nov,270,1,0,unknown
entrepreneur,married,no,no,phone,14,jul,44,14,0,unknown
services,married,yes,yes,email,29,jul,114,2,0,unknown
unemployed,married,yes,no,unknown,4,jun,606,2,0,unknown
entrepreneur,married,yes,no,unknown,14,may,126,3,0,unknown
education,married,no,no,email,5,apr,558,1,0,unknown
construction,married,no,no,email,26,aug,286,2,0,unknown
retired,married,no,no,email,23,oct,427,1,2,failure
education,married,no,no,email,22,dec,190,1,9,success
tech,single,yes,yes,email,18,may,487,1,0,unknown
services,married,yes,yes,unknown,19,may,343,2,0,unknown
construction,single,no,no,email,2,feb,125,1,0,unknown
education,single,no,no,email,12,jul,250,2,4,success
tech,married,yes,no,email,14,may,24,6,0,unknown
management,single,yes,no,email,6,may,606,3,0,unknown
management,married,yes,no,email,15,may,385,3,9,other
education,divorced,no,yes,email,18,aug,150,2,0,unknown
services,divorced,yes,no,email,13,apr,1101,2,0,unknown
tech,married,yes,no,email,13,may,79,1,1,failure
services,divorced,yes,no,unknown,14,may,389,1,0,unknown
management,divorced,no,no,email,3,jun,593,1,0,unknown
construction,married,yes,yes,email,23,sep,112,1,6,other
entrepreneur,married,yes,no,unknown,6,may,135,2,0,unknown
tech,married,no,no,unknown,18,jun,165,7,0,unknown
education,single,yes,no,unknown,19,may,30,1,1,other
retired,married,no,no,email,28,jan,399,3,0,unknown
management,single,no,no,email,18,sep,267,2,2,failure
construction,single,no,no,email,29,aug,73,4,0,unknown
management,married,yes,no,email,4,aug,293,1,2,other
tech,married,no,no,email,12,may,215,1,0,unknown
construction,single,yes,no,unknown,4,jun,99,2,0,unknown
entrepreneur,married,yes,no,email,21,nov,549,2,0,unknown
retired,divorced,no,no,phone,31,may,664,1,3,success
construction,married,yes,no,unknown,23,may,350,1,0,unknown
retired,married,no,no,phone,9,feb,68,12,0,unknown
education,married,yes,no,phone,17,jul,1448,7,0,unknown
construction,single,yes,yes,unknown,28,may,185,6,0,unknown
construction,single,yes,no,unknown,21,may,860,2,0,unknown
student,single,no,no,email,11,aug,91,1,0,unknown
retired,married,no,no,phone,3,jul,353,2,0,unknown
self-employed,married,no,no,email,8,jun,458,6,0,unknown
management,married,yes,yes,email,11,may,474,1,1,success
education,single,no,no,email,30,apr,633,1,2,success
services,single,no,no,phone,18,jun,280,6,5,other
construction,married,no,no,email,15,apr,159,2,3,failure
education,married,yes,no,unknown,15,may,126,2,0,unknown
education,married,no,no,email,27,mar,164,2,2,failure
management,married,no,no,email,14,aug,136,2,0,unknown
tech,married,yes,no,unknown,26,may,24,1,0,unknown
management,married,yes,no,email,18,may,1434,2,4,failure
education,divorced,yes,no,unknown,13,may,181,5,0,unknown
management,married,yes,no,email,12,aug,307,1,0,unknown
construction,married,yes,no,email,15,jun,441,1,1,other
management,married,yes,no,phone,18,nov,52,3,3,other
tech,married,yes,no,email,18,jul,968,1,0,unknown
tech,divorced,yes,no,email,21,apr,146,4,0,unknown
services,divorced,yes,no,unknown,28,may,213,1,0,unknown
tech,married,yes,no,email,12,may,165,2,1,failure
management,married,yes,yes,email,24,jul,1441,2,0,unknown
education,married,yes,no,email,26,may,149,1,0,unknown
construction,married,yes,no,email,9,jul,74,1,0,unknown
tech,married,no,yes,email,18,jul,305,12,0,unknown
construction,married,yes,no,unknown,29,may,240,2,0,unknown
self-employed,married,no,no,email,22,aug,197,5,0,unknown
construction,married,yes,no,email,12,jun,234,7,1,failure
management,married,no,no,email,23,jul,698,2,0,unknown
self-employed,married,yes,no,unknown,13,may,92,1,0,unknown
tech,single,no,no,email,6,may,140,2,0,unknown
management,divorced,yes,yes,email,17,nov,279,1,0,unknown
tech,single,yes,yes,email,13,may,951,3,4,failure
education,married,no,no,email,12,mar,212,1,0,unknown
management,single,yes,no,email,16,jul,410,2,0,unknown
tech,married,yes,yes,email,20,nov,1258,2,2,other
education,divorced,yes,no,email,24,jul,873,8,0,unknown
services,divorced,yes,no,email,22,jul,427,1,0,unknown
tech,married,yes,no,email,8,may,318,2,1,success
management,married,no,no,email,2,feb,670,3,0,unknown
education,divorced,no,no,email,28,aug,1126,4,0,unknown
education,single,no,no,unknown,19,jun,82,1,0,unknown
management,married,no,no,email,29,jan,165,1,0,unknown
education,single,yes,no,unknown,28,may,217,5,0,unknown
management,married,yes,no,email,15,jul,58,2,0,unknown
construction,married,no,no,email,14,jan,309,1,10,success
management,married,yes,yes,email,1,jun,264,1,0,unknown
construction,married,yes,no,email,18,feb,220,1,5,failure
entrepreneur,married,yes,yes,email,8,aug,275,4,0,unknown
education,divorced,yes,no,email,15,may,259,3,0,unknown
tech,married,yes,no,email,21,jul,357,1,0,unknown
construction,married,no,yes,unknown,16,jun,226,4,0,unknown
entrepreneur,married,no,yes,email,15,may,57,11,1,other
unemployed,married,no,no,email,9,jun,239,4,0,unknown
services,single,no,no,phone,5,jun,329,1,1,other
construction,married,yes,no,email,30,apr,968,1,5,failure
management,married,no,no,email,23,apr,93,3,0,unknown
construction,married,no,no,email,13,aug,205,4,0,unknown
tech,married,yes,no,email,20,apr,369,1,0,unknown
student,single,yes,no,phone,12,may,25,1,0,unknown
management,married,yes,no,email,4,feb,489,1,0,unknown
construction,married,yes,no,unknown,26,may,116,4,0,unknown
management,married,no,no,unknown,19,jun,39,2,0,unknown
management,single,no,no,email,25,may,213,4,0,unknown
tech,single,yes,no,email,14,may,563,1,0,unknown
services,married,no,no,email,23,jul,286,2,0,unknown
construction,divorced,yes,no,email,10,feb,691,2,5,failure
services,single,yes,no,email,15,may,667,3,3,other
management,married,yes,no,email,6,may,337,2,0,unknown
management,married,no,no,email,27,oct,508,1,0,unknown
management,married,yes,no,email,30,jan,140,1,3,other
tech,married,yes,no,unknown,21,may,32,1,0,unknown
construction,single,no,no,email,4,feb,73,3,0,unknown
education,single,no,yes,email,18,nov,162,1,3,failure
education,divorced,yes,yes,email,18,may,82,3,2,other
construction,married,no,no,email,13,aug,354,3,0,unknown
management,married,no,no,phone,6,aug,239,4,0,unknown
construction,single,yes,yes,email,3,apr,154,1,0,unknown
tech,married,yes,yes,email,20,apr,219,4,0,unknown
construction,divorced,yes,yes,email,18,aug,151,10,0,unknown
construction,single,yes,yes,unknown,6,jun,91,18,0,unknown
services,married,no,no,email,3,jul,318,4,3,failure
management,married,no,no,email,16,jun,298,3,0,unknown
education,married,yes,no,email,22,oct,249,2,2,failure
self-employed,single,yes,no,email,12,may,897,4,0,unknown
management,married,no,no,email,20,nov,67,1,0,unknown
construction,divorced,no,yes,phone,17,oct,270,1,0,unknown
retail,married,no,no,email,22,aug,256,2,0,unknown
tech,married,no,yes,email,4,jul,668,2,0,unknown
tech,married,yes,no,email,29,jan,244,3,0,unknown
education,married,yes,no,email,12,may,193,2,0,unknown
